110,296,38780
110,318,36071
110,356,39817
110,480,37249
110,593,36904
1196,1210,35835
1196,260,38909
1210,260,39224
150,296,36206
150,356,36974
296,318,45770
296,356,46546
296,457,36829
296,47,36142
296,480,41599
296,50,36802
296,527,35322
296,589,37671
296,592,35743
296,593,47713
318,356,42328
318,480,36646
318,50,35091
318,527,35549
318,593,43017
356,457,38175
356,480,46654
356,527,35165
356,589,39144
356,593,44364
377,480,35240
457,480,37828
457,593,37048
480,589,41306
480,592,35453
480,593,40569
527,593,35115
589,593,36699
